,sectionName_x,Summary_TARGET_binary,count
0,401(k)'s and Similar Plans,0,0.4946236559139785
1,401(k)'s and Similar Plans,1,0.5053763440860215
2,Africa,0,0.4112801013941698
3,Africa,1,0.5887198986058302
4,Americas,0,0.37524124620898813
5,Americas,1,0.6247587537910119
6,Art,0,0.20930232558139536
7,Art,1,0.7906976744186046
8,Art & Design,0,0.37790262172284644
9,Art & Design,1,0.6220973782771536
10,Asia Pacific,0,0.499450468933177
11,Asia Pacific,1,0.500549531066823
12,Australia,0,0.43804537521815007
13,Australia,1,0.5619546247818499
14,Auto Racing,0,0.6779661016949152
15,Auto Racing,1,0.3220338983050847
16,Automobiles,0,0.7058823529411765
17,Automobiles,1,0.29411764705882354
18,Baseball,0,0.615112160566706
19,Baseball,1,0.38488783943329397
20,Book Review,0,0.4572072072072072
21,Book Review,1,0.5427927927927928
22,Canada,0,0.3458767013610889
23,Canada,1,0.6541232986389112
24,College Basketball,0,0.47625602202339984
25,College Basketball,1,0.5237439779766001
26,College Football,0,0.3432282003710575
27,College Football,1,0.6567717996289425
28,Cricket,0,1.0
29,Cycling,0,0.41847826086956524
30,Cycling,1,0.5815217391304348
31,Dance,0,0.18439716312056736
32,Dance,1,0.8156028368794326
33,DealBook,0,0.45219290875483115
34,DealBook,1,0.5478070912451689
35,Eat,0,0.4696271470465019
36,Eat,1,0.5303728529534981
37,Economy,0,0.3902482269503546
38,Economy,1,0.6097517730496453
39,Editorials,0,0.4359912216532553
40,Editorials,1,0.5640087783467447
41,Education Life,0,0.3471479500891266
42,Education Life,1,0.6528520499108734
43,Energy & Environment ,0,0.42334969994544464
44,Energy & Environment ,1,0.5766503000545554
45,Entertainment,0,1.0
46,Entrepreneurship,0,0.25
47,Entrepreneurship,1,0.75
48,Europe,0,0.4536333999369019
49,Europe,1,0.5463666000630981
50,Family,0,0.33903305436811365
51,Family,1,0.6609669456318863
52,Fashion & Beauty,0,1.0
53,Food,0,0.7142857142857143
54,Food,1,0.2857142857142857
55,Golf,0,0.5403422982885085
56,Golf,1,0.45965770171149145
57,Hockey,0,0.5397260273972603
58,Hockey,1,0.4602739726027397
59,Insider Events,0,0.75
60,Insider Events,1,0.25
61,Learning,0,0.2459016393442623
62,Learning,1,0.7540983606557377
63,Lesson Plans,0,0.8785046728971962
64,Lesson Plans,1,0.12149532710280374
65,Live,0,0.38217496542185336
66,Live,1,0.6178250345781466
67,Media,0,0.3737942122186495
68,Media,1,0.6262057877813505
69,Middle East,0,0.5013974464841516
70,Middle East,1,0.4986025535158483
71,Mind,0,0.37639090469279146
72,Mind,1,0.6236090953072085
73,Move,0,0.4531318761918733
74,Move,1,0.5468681238081268
75,Music,0,0.32001414427157
76,Music,1,0.67998585572843
77,Neighborhoods,0,0.10714285714285714
78,Neighborhoods,1,0.8928571428571429
79,Olympics,0,0.4004718372161604
80,Olympics,1,0.5995281627838396
81,Opinion | Politics,0,0.5813449023861171
82,Opinion | Politics,1,0.41865509761388287
83,Opinion | The World,1,1.0
84,Paying for College,0,0.5277777777777778
85,Paying for College,1,0.4722222222222222
86,Personal Tech,0,0.48751835535976507
87,Personal Tech,1,0.5124816446402349
88,Politics,0,0.43059490084985835
89,Politics,1,0.5694050991501416
90,Pro Basketball,0,0.5594749794913864
91,Pro Basketball,1,0.44052502050861364
92,Pro Football,0,0.45051395007342143
93,Pro Football,1,0.5494860499265786
94,Real Estate,0,0.8333333333333334
95,Real Estate,1,0.16666666666666666
96,Retirement,0,0.32136279926335176
97,Retirement,1,0.6786372007366482
98,Room For Debate,0,0.38972542072630645
99,Room For Debate,1,0.6102745792736936
100,Rugby,0,0.6357142857142857
101,Rugby,1,0.36428571428571427
102,Soccer,0,0.6219151036525172
103,Soccer,1,0.3780848963474827
104,Student Loans,0,0.42297650130548303
105,Student Loans,1,0.577023498694517
106,Sunday Review,0,0.4096741344195519
107,Sunday Review,1,0.5903258655804481
108,Television,0,0.433834440931673
109,Television,1,0.566165559068327
110,Tennis,0,0.4731182795698925
111,Tennis,1,0.5268817204301075
112,The Daily,0,0.7283950617283951
113,The Daily,1,0.2716049382716049
114,Unknown,0,0.4739165288491518
115,Unknown,1,0.5260834711508482
116,Weddings,0,0.21052631578947367
117,Weddings,1,0.7894736842105263
118,"Wine, Beer & Cocktails",0,0.580908032596042
119,"Wine, Beer & Cocktails",1,0.4190919674039581
