,newDesk_x,sentiment_absolute,count
0,Arts&Leisure,-1,0.047017111145367656
1,Arts&Leisure,0,0.835054724834284
2,Arts&Leisure,1,0.11792816402034839
3,Automobiles,-1,0.14285714285714285
4,Automobiles,0,0.8571428571428571
5,BookReview,-1,0.03829160530191458
6,BookReview,0,0.8770250368188512
7,BookReview,1,0.08468335787923417
8,Business,-1,0.06367910609249897
9,Business,0,0.8645466527649361
10,Business,1,0.07177424114256487
11,Climate,-1,0.08211863183720594
12,Climate,0,0.8597200173185163
13,Climate,1,0.058161350844277676
14,Culture,-1,0.055826333437035504
15,Culture,0,0.8332469148605206
16,Culture,1,0.11092675170244391
17,Dining,-1,0.026677128285602196
18,Dining,0,0.8755814605167292
19,Dining,1,0.09774141119766855
20,EdLife,-1,0.040998217468805706
21,EdLife,0,0.8988413547237076
22,EdLife,1,0.06016042780748663
23,Editorial,-1,0.06359283194642984
24,Editorial,0,0.8819293086861286
25,Editorial,1,0.05447785936744156
26,Express,-1,0.09417920209287116
27,Express,0,0.8301722258556791
28,Express,1,0.07564857205144974
29,Foreign,-1,0.08518313634132468
30,Foreign,0,0.8505224118989926
31,Foreign,1,0.06429445175968274
32,Games,-1,0.027190092486008018
33,Games,0,0.8662326836819751
34,Games,1,0.10657722383201683
35,Insider,-1,0.05632890903204921
36,Insider,0,0.8357073486565232
37,Insider,1,0.10796374231142765
38,Investigative,-1,0.06270096463022508
39,Investigative,0,0.8685056693179896
40,Investigative,1,0.06879336605178542
41,Learning,-1,0.04327292987715901
42,Learning,0,0.8953596349261097
43,Learning,1,0.06136743519673132
44,Letters,-1,0.05325914149443561
45,Letters,0,0.8855325914149443
46,Letters,1,0.06120826709062003
47,Magazine,-1,0.05718170922835807
48,Magazine,0,0.8509956670047018
49,Magazine,1,0.09182262376694017
50,Metro,-1,0.06219679480745425
51,Metro,0,0.858610191040182
52,Metro,1,0.07919301415236375
53,Metropolitan,-1,0.048820032426589804
54,Metropolitan,0,0.8122860745811565
55,Metropolitan,1,0.13889389299225366
56,NYTNow,-1,0.046511627906976744
57,NYTNow,0,0.8837209302325582
58,NYTNow,1,0.06976744186046512
59,National,-1,0.08020205692915022
60,National,0,0.8542800747974236
61,National,1,0.06551786827342614
62,NewsDesk,-1,0.05482378070487718
63,NewsDesk,0,0.8622285510857957
64,NewsDesk,1,0.08294766820932717
65,Obits,-1,0.04083926564256276
66,Obits,0,0.7347321094042712
67,Obits,1,0.22442862495316598
68,OpEd,-1,0.06087282066453124
69,OpEd,0,0.8752187680397729
70,OpEd,1,0.06390841129569585
71,Photo,-1,0.02734375
72,Photo,0,0.65625
73,Photo,1,0.31640625
74,Podcasts,-1,0.08264462809917356
75,Podcasts,0,0.8429752066115702
76,Podcasts,1,0.0743801652892562
77,Politics,-1,0.07067204049114256
78,Politics,0,0.8523760427406505
79,Politics,1,0.07695191676820695
80,RealEstate,-1,0.03186492319410943
81,RealEstate,0,0.8848546400914054
82,RealEstate,1,0.0832804367144852
83,Science,-1,0.06475903614457831
84,Science,0,0.851706827309237
85,Science,1,0.08353413654618475
86,Smarter Living,-1,0.05056179775280899
87,Smarter Living,0,0.851123595505618
88,Smarter Living,1,0.09831460674157304
89,Society,-1,0.022556390977443608
90,Society,0,0.7518796992481203
91,Society,1,0.22556390977443608
92,SpecialSections,-1,0.035523978685612786
93,SpecialSections,0,0.872113676731794
94,SpecialSections,1,0.09236234458259325
95,Sports,-1,0.060215317859920583
96,Sports,0,0.8360145728437512
97,Sports,1,0.10377010929632813
98,Styles,-1,0.049819033425590804
99,Styles,0,0.7052373855652544
100,Styles,1,0.24494358100915478
101,Summary,-1,0.02564102564102564
102,Summary,0,0.7692307692307693
103,Summary,1,0.20512820512820512
104,SundayBusiness,-1,0.0389768574908648
105,SundayBusiness,0,0.9067532819055353
106,SundayBusiness,1,0.054269860603599944
107,TStyle,-1,0.005050505050505051
108,TStyle,0,0.8434343434343434
109,TStyle,1,0.15151515151515152
110,Travel,-1,0.02986822840409956
111,Travel,0,0.8559297218155197
112,Travel,1,0.11420204978038068
113,Unknown,-1,0.06535947712418301
114,Unknown,0,0.8715878508266052
115,Unknown,1,0.06305267204921185
116,Upshot,-1,0.05827886710239651
117,Upshot,0,0.8718228031953522
118,Upshot,1,0.06989832970225127
119,Video,-1,0.07746478873239436
120,Video,0,0.8169014084507042
121,Video,1,0.1056338028169014
122,Washington,-1,0.07331974495662172
123,Washington,0,0.8643827741193687
124,Washington,1,0.062297480924009614
125,Weekend,-1,0.042426430763675756
126,Weekend,0,0.8362520310525365
127,Weekend,1,0.12132153818378769
128,Well,-1,0.05388130772426576
129,Well,0,0.8510434310185038
130,Well,1,0.09507526125723051
