,newDesk_x,sentiment_absolute,count
0,Arts&Leisure,-1,0.24818868506243255
1,Arts&Leisure,0,0.16417450285185756
2,Arts&Leisure,1,0.5876368120857098
3,Automobiles,-1,0.42857142857142855
4,Automobiles,1,0.5714285714285714
5,BookReview,-1,0.31001472754050075
6,BookReview,0,0.16163475699558175
7,BookReview,1,0.5283505154639175
8,Business,-1,0.36164499439340586
9,Business,0,0.16997816379123798
10,Business,1,0.46837684181535616
11,Climate,-1,0.38374945879636313
12,Climate,0,0.18559676721027565
13,Climate,1,0.43065377399336124
14,Culture,-1,0.293200594559093
15,Culture,0,0.174599882470877
16,Culture,1,0.53219952297003
17,Dining,-1,0.16818920585103403
18,Dining,0,0.21280053802611668
19,Dining,1,0.6190102561228493
20,EdLife,-1,0.28520499108734404
21,EdLife,0,0.12611408199643495
22,EdLife,1,0.588680926916221
23,Editorial,-1,0.41103797633477007
24,Editorial,0,0.13281661892674868
25,Editorial,1,0.45614540473848125
26,Express,-1,0.4368868541530412
27,Express,0,0.1724438630913451
28,Express,1,0.3906692827556137
29,Foreign,-1,0.42939842769990727
30,Foreign,0,0.17211933274638286
31,Foreign,1,0.39848223955370987
32,Games,-1,0.153177469932124
33,Games,0,0.31123724844202755
34,Games,1,0.5355852816258484
35,Insider,-1,0.30074457753318223
36,Insider,0,0.17821301392036257
37,Insider,1,0.5210424085464551
38,Investigative,-1,0.3529361990184464
39,Investigative,0,0.22262650194618377
40,Investigative,1,0.42443729903536975
41,Learning,-1,0.29176726539492187
42,Learning,0,0.22851609137459872
43,Learning,1,0.4797166432304794
44,Letters,-1,0.4109697933227345
45,Letters,0,0.11049284578696343
46,Letters,1,0.4785373608903021
47,Magazine,-1,0.32536646077256387
48,Magazine,0,0.14524753388033557
49,Magazine,1,0.5293860053471006
50,Metro,-1,0.33560841781257317
51,Metro,0,0.18655692729766804
52,Metro,1,0.4778346548897588
53,Metropolitan,-1,0.2758061610520627
54,Metropolitan,0,0.14772113132768872
55,Metropolitan,1,0.5764727076202486
56,NYTNow,-1,0.32558139534883723
57,NYTNow,0,0.18604651162790697
58,NYTNow,1,0.4883720930232558
59,National,-1,0.4024153334718471
60,National,0,0.17554539788073967
61,National,1,0.42203926864741326
62,NewsDesk,-1,0.33250266998932004
63,NewsDesk,0,0.1509433962264151
64,NewsDesk,1,0.5165539337842648
65,Obits,-1,0.1910828025477707
66,Obits,0,0.1434994379917572
67,Obits,1,0.6654177594604721
68,OpEd,-1,0.3970785549070146
69,OpEd,0,0.1211997847990083
70,OpEd,1,0.4817216602939771
71,Photo,-1,0.14453125
72,Photo,0,0.18359375
73,Photo,1,0.671875
74,Podcasts,-1,0.39669421487603307
75,Podcasts,0,0.1487603305785124
76,Podcasts,1,0.45454545454545453
77,Politics,-1,0.37454306870372106
78,Politics,0,0.17199362639422627
79,Politics,1,0.45346330490205267
80,RealEstate,-1,0.24971435825822014
81,RealEstate,0,0.19855274850831534
82,RealEstate,1,0.5517328932334645
83,Science,-1,0.35609103078982596
84,Science,0,0.14601740294511378
85,Science,1,0.49789156626506026
86,Smarter Living,-1,0.2654494382022472
87,Smarter Living,0,0.13623595505617977
88,Smarter Living,1,0.598314606741573
89,Society,-1,0.15789473684210525
90,Society,0,0.15037593984962405
91,Society,1,0.6917293233082706
92,SpecialSections,-1,0.23623445825932504
93,SpecialSections,0,0.13913558318531677
94,SpecialSections,1,0.6246299585553582
95,Sports,-1,0.3057841090507184
96,Sports,0,0.16468132138032665
97,Sports,1,0.529534569568955
98,Styles,-1,0.22109857355758994
99,Styles,0,0.14849904194166488
100,Styles,1,0.6304023845007451
101,Summary,-1,0.20512820512820512
102,Summary,0,0.20512820512820512
103,Summary,1,0.5897435897435898
104,SundayBusiness,-1,0.31262687779131143
105,SundayBusiness,0,0.13831370956827718
106,SundayBusiness,1,0.5490594126404115
107,TStyle,-1,0.12121212121212122
108,TStyle,0,0.1111111111111111
109,TStyle,1,0.7676767676767676
110,Travel,-1,0.19062957540263542
111,Travel,0,0.17071742313323574
112,Travel,1,0.6386530014641288
113,Unknown,-1,0.4021530180699731
114,Unknown,0,0.13283352556708958
115,Unknown,1,0.46501345636293734
116,Upshot,-1,0.3527336860670194
117,Upshot,0,0.12560950306048346
118,Upshot,1,0.5216568108724972
119,Video,-1,0.3755868544600939
120,Video,0,0.1784037558685446
121,Video,1,0.4460093896713615
122,Washington,-1,0.40255566008153026
123,Washington,0,0.18711194731890876
124,Washington,1,0.410332392599561
125,Weekend,-1,0.22476981404585666
126,Weekend,0,0.15670698682072576
127,Weekend,1,0.6185231991334176
128,Well,-1,0.31462720910165864
129,Well,0,0.15359048927806718
130,Well,1,0.5317823016202742
